Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior
price_1Tmz0jEH6o7elwpUXPauNZ9m,prod_UhLuKy1gPMugwe,Civic Plus Subscription,,,,2026-06-27 16:23,49.00,usd,year,1,licensed,,per_unit,,exclusive
price_1TmyvjEH6o7elwpU6fdsRUkS,prod_UmY1ueMFUAHyJf,Property Basic Subscription,,,,2026-06-27 16:18,49.00,usd,year,1,licensed,,per_unit,,exclusive
price_1TmyvOEH6o7elwpU7ZRTTekv,prod_UmY1Vqcc3Paiag,Property Plus Subscription,,,,2026-06-27 16:17,99.00,usd,year,1,licensed,,per_unit,,exclusive
price_1TmyoaEH6o7elwpUcB1BmmRB,prod_UhLuUrDH1tZKpb,Venue Pro Subscription,,,price_venue_growth,2026-06-27 16:10,79.00,usd,year,1,licensed,,per_unit,,exclusive
price_1Tjfj9EH6o7elwpUvLsnrry4,prod_Uj7z8iZsGG0398,Property Pro Subscription,,,price_property_property_pro,2026-06-18 13:11,199.00,usd,year,1,licensed,,per_unit,,exclusive
price_1ThxDTEH6o7elwpU2SXXjr9o,prod_UhLvbegqI9K5ZD,AddOn/Support/Custom Partner Report,,,,2026-06-13 19:27,79.00,usd,,,,,per_unit,,unspecified
price_1ThxDSEH6o7elwpUG9p58Htx,prod_UhLvetVT4sr0pz,AddOn/Support/Building Placement Pack,,,,2026-06-13 19:27,99.00,usd,,,,,per_unit,,unspecified
price_1ThxDREH6o7elwpUGjYMYKsW,prod_UhLvNhhl60GDvh,AddOn/Support/Campaign Launch Kit,,,,2026-06-13 19:27,99.00,usd,,,,,per_unit,,unspecified
price_1ThxDREH6o7elwpUGOBFzvWe,prod_UhLvzRHlgVaFBO,AddOn/Support/Survey Pulse,,,,2026-06-13 19:27,49.00,usd,,,,,per_unit,,unspecified
price_1ThxDQEH6o7elwpUQCKWnb7H,prod_UhLvxoRFt72W2k,AddOn/Sponsorship/Seasonal Sponsor,,,,2026-06-13 19:27,499.00,usd,,,,,per_unit,,unspecified
price_1ThxDPEH6o7elwpUApsXF6Zk,prod_UhLvnHI6oA4miF,AddOn/Sponsorship/District Sponsor,,,,2026-06-13 19:27,199.00,usd,month,1,licensed,,per_unit,,unspecified
price_1ThxDOEH6o7elwpUlDCjMciF,prod_UhLvWaoXkuDTfN,AddOn/Activation/Street Team Activation (Full Day),,,,2026-06-13 19:27,399.00,usd,,,,,per_unit,,unspecified
price_1ThxDNEH6o7elwpUESoCGkO3,prod_UhLv3FnAn3Jdgs,AddOn/Activation/Street Team Activation (Half Day),,,,2026-06-13 19:27,199.00,usd,,,,,per_unit,,unspecified
price_1ThxD6EH6o7elwpUjGQHoxLN,prod_UhLuxPK5HTqQmt,AddOn/Activation/Multi-Location Activation,,,,2026-06-13 19:27,199.00,usd,,,,,per_unit,,unspecified
price_1ThxD5EH6o7elwpUR35YW8xV,prod_UhLu9BrbgvsojL,AddOn/Activation/Property Activation,,,,2026-06-13 19:27,99.00,usd,,,,,per_unit,,unspecified
price_1ThxD4EH6o7elwpUiDwAvozU,prod_UhLuwU5utttSsA,AddOn/Activation/In-Venue Activation,,,,2026-06-13 19:27,99.00,usd,,,,,per_unit,,unspecified
price_1ThxD4EH6o7elwpUMhKs0Gyx,prod_UhLumGkoATCyPt,Analytics Pro Add On,,,,2026-06-13 19:27,79.00,usd,month,1,licensed,,per_unit,,unspecified
price_1ThxD3EH6o7elwpUMGqlUN7K,prod_UhLumngLTkgq0B,Analytics Plus Add On,,,,2026-06-13 19:27,30.00,usd,month,1,licensed,,per_unit,,unspecified
price_1ThxD2EH6o7elwpUoKT0Egwv,prod_UhLuvvJZCIM6vV,AddOn/Surveys/Custom Research Project,,,,2026-06-13 19:27,199.00,usd,,,,,per_unit,,unspecified
price_1ThxD1EH6o7elwpUrrNKAKhz,prod_UhLuSnAYaGPZtb,AddOn/Surveys/Survey Series,,,,2026-06-13 19:27,79.00,usd,month,1,licensed,,per_unit,,unspecified
price_1ThxD0EH6o7elwpUnMS9ryoA,prod_UhLu65S5NsDrtC,AddOn/Surveys/Single Survey,,,,2026-06-13 19:27,30.00,usd,,,,,per_unit,,unspecified
price_1ThxCzEH6o7elwpUJAKyQpnf,prod_UhLuR7nfP9y4V2,"AddOn/Broadcast/SMS Broadcast (up to 5,000)",,,,2026-06-13 19:27,149.00,usd,,,,,per_unit,,unspecified
price_1ThxCzEH6o7elwpUIocKUxzw,prod_UhLud5hy0p68l4,"AddOn/Broadcast/SMS Broadcast (up to 2,500)",,,,2026-06-13 19:27,79.00,usd,,,,,per_unit,,unspecified
price_1ThxCyEH6o7elwpUO2aaoGpB,prod_UhLuxEe2Xt4mBk,AddOn/Broadcast/SMS Broadcast (up to 500),,,,2026-06-13 19:27,30.00,usd,,,,,per_unit,,unspecified
price_1ThxCxEH6o7elwpUh7saS6mG,prod_UhLuzB1NjXfkNz,AddOn/Broadcast/Nearby Broadcast (Downtown),,,,2026-06-13 19:27,75.00,usd,,,,,per_unit,,unspecified
price_1ThxCwEH6o7elwpU6RRu41dk,prod_UhLuB00ofP7Pc8,AddOn/Broadcast/Nearby Broadcast (District),,,,2026-06-13 19:27,40.00,usd,,,,,per_unit,,unspecified
price_1ThxCvEH6o7elwpU6hrc9qC7,prod_UhLumwsNj5qbN4,AddOn/Broadcast/Nearby Broadcast (10-min walk),,,,2026-06-13 19:27,30.00,usd,,,,,per_unit,,unspecified
price_1ThxCvEH6o7elwpU9VZwjLYd,prod_UhLurg2aMH1gWP,AddOn/Broadcast/Nearby Broadcast (5-min walk),,,,2026-06-13 19:27,20.00,usd,,,,,per_unit,,unspecified
price_1ThxCuEH6o7elwpUxsCy9L6x,prod_UhLulOpnb5m3q4,AddOn/Events/Sponsored Event,,,,2026-06-13 19:27,99.00,usd,,,,,per_unit,,unspecified
price_1ThxCtEH6o7elwpUxSQHN3Nw,prod_UhLuzn5aJ4egHH,AddOn/Events/Featured Event,,,,2026-06-13 19:27,49.00,usd,,,,,per_unit,,unspecified
price_1ThxCsEH6o7elwpU06nH7aWH,prod_UhLuNdyFEL2rSh,AddOn/Events/Event Boost,,,,2026-06-13 19:27,20.00,usd,,,,,per_unit,,unspecified
price_1ThxCrEH6o7elwpUTCCE9XVb,prod_UhLuH3OMW5nFdV,AddOn/Campaigns/Monthly Unlimited Perk Campaigns,,,,2026-06-13 19:27,79.00,usd,month,1,licensed,,per_unit,,unspecified
price_1ThxCrEH6o7elwpUUNiIrMkl,prod_UhLu7iGkXYnFHZ,AddOn/Campaigns/Sponsored Campaign,,,,2026-06-13 19:27,99.00,usd,,,,,per_unit,,unspecified
price_1ThxCqEH6o7elwpUVT7kOYkZ,prod_UhLuMiOzoxClRh,AddOn/Campaigns/Featured Campaign,,,,2026-06-13 19:27,49.00,usd,,,,,per_unit,,unspecified
price_1ThxCpEH6o7elwpUoR929ayG,prod_UhLusGabygv156,AddOn/Campaigns/Perk Campaign,,,,2026-06-13 19:26,30.00,usd,,,,,per_unit,,unspecified
price_1ThxCoEH6o7elwpURyVRpipf,prod_UhLug0xlaYd6S8,AddOn/Placements/District Featured (90d),,,,2026-06-13 19:26,249.00,usd,,,,,per_unit,,unspecified
price_1ThxCnEH6o7elwpUoCWiNkCB,prod_UhLuCYVpeS9afw,AddOn/Placements/District Featured (30d),,,,2026-06-13 19:26,99.00,usd,,,,,per_unit,,unspecified
price_1ThxCmEH6o7elwpUbLC2M7IZ,prod_UhLuM2J6h4EBZc,AddOn/Placements/Category Featured (90d),,,,2026-06-13 19:26,150.00,usd,,,,,per_unit,,unspecified
price_1ThxCmEH6o7elwpUf2PkhDcS,prod_UhLuINCjO0Oc1u,AddOn/Placements/Category Featured (30d),,,,2026-06-13 19:26,60.00,usd,,,,,per_unit,,unspecified
price_1ThxClEH6o7elwpUWg60aJ45,prod_UhLuHKJ4asAUe7,AddOn/Placements/Category Featured (7d),,,,2026-06-13 19:26,20.00,usd,,,,,per_unit,,unspecified
price_1ThxCkEH6o7elwpUFf5GUxaD,prod_UhLunUqogUBOHh,Resident Join (Building Not Member),,,,2026-06-13 19:26,25.00,usd,year,1,licensed,,per_unit,,unspecified
price_1ThxCjEH6o7elwpU8qE0igRA,prod_UhLug77svIcgsH,Civic Pro Subscription,,,,2026-06-13 19:26,99.00,usd,year,1,licensed,,per_unit,,unspecified
price_1ThxCiEH6o7elwpUadaJ0MDs,prod_UhLunfNKPIVaia,Civic Basic Subscription,,,,2026-06-13 19:26,30.00,usd,year,1,licensed,,per_unit,,unspecified
price_1ThxChEH6o7elwpURgd5lw8c,prod_UhLuzZSj85X0uj,Brand Pro Subscription,,,,2026-06-13 19:26,199.00,usd,year,1,licensed,,per_unit,,unspecified
price_1ThxChEH6o7elwpUp7aT0UPu,prod_UhLuVTPyC7I5W8,Brand Basic Subscription,,,,2026-06-13 19:26,99.00,usd,year,1,licensed,,per_unit,,unspecified
price_1ThxCgEH6o7elwpUxuIWw3hb,prod_UhLu1ygnujHJ8U,Hospitality Pro,,,,2026-06-13 19:26,199.00,usd,year,1,licensed,,per_unit,,unspecified
price_1ThxCfEH6o7elwpUkSQY1s1Y,prod_UhLuf1HDIbpJl2,Hospitality Starter,,,,2026-06-13 19:26,99.00,usd,year,1,licensed,,per_unit,,unspecified
price_1ThxCeEH6o7elwpUuA6hNrzj,prod_UhLuho6URMwtYS,Property Pro Subscription,,,,2026-06-13 19:26,199.00,usd,year,1,licensed,,per_unit,,unspecified
price_1ThxCdEH6o7elwpU34wAoofj,prod_UhLub6GbOl57Fy,Property Plus Subscription,,,,2026-06-13 19:26,99.00,usd,year,1,licensed,,per_unit,,unspecified
price_1ThxCdEH6o7elwpUaUM39TT6,prod_UhLutyH3JzC9lA,Property Basic Subscription,,,,2026-06-13 19:26,49.00,usd,year,1,licensed,,per_unit,,unspecified
price_1ThxCcEH6o7elwpUBOErkj0Q,prod_UhLuUrDH1tZKpb,Venue Pro Subscription,,,,2026-06-13 19:26,199.00,usd,year,1,licensed,,per_unit,,unspecified
price_1ThxCbEH6o7elwpU76PyAm5C,prod_UhLujcduCS7Eig,Venue Growth Subscription,,,,2026-06-13 19:26,79.00,usd,year,1,licensed,,per_unit,,unspecified
price_1ThxCaEH6o7elwpUha0gU6q2,prod_UhLuHhif5Pxdlt,Venue Basic Subscription,,,,2026-06-13 19:26,30.00,usd,year,1,licensed,,per_unit,,unspecified
